_record_id,_title,_server_updated_at,_project,_assigned_to,_updated_by,_geometry,_latitude,_longitude,what_is_the_name_of_public_art,where_is_it_located,when_is_it_built,what_color_is_it,what_do_you_think_is_it_made_of_,if_you_selected_other_what_do_you_think_is_it_made_of_,how_big_is_it,how_does_it_lookupload_picture
58e19da5-2df1-4cea-8fcb-2e3287e6eec6,Drumheller Fountain,2018-02-21 22:35:07 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.307802 47.653748),47.653748,-122.307802,Drumheller Fountain,UW Campus,,,Concrete,,Large,http://students.washington.edu/gyubeom/photo(project3)/drumhellerfountain.jpeg
532e9774-64c6-4fe8-b6e1-d1524b3569b9,Broken Obelisk,2018-02-21 22:34:38 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.309018 47.656138),47.656138,-122.309018,Broken Obelisk,UW Campus,,,Others,Steel,Large,http://students.washington.edu/gyubeom/photo(project3)/brokenobelisk.jpeg
d86e5c58-4527-4153-8959-3d625250355f,Medal of Honor Memorial,2018-02-21 22:34:29 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.309777 47.65728),47.65728,-122.309777,Medal of Honor Memorial,UW Campus,,,Others,Stone,Medium,http://students.washington.edu/gyubeom/photo(project3)/medalofhonormemorial.jpeg
d3ce6d48-3832-4b44-b0a9-f997adf765c1,George Washington Statue,2018-02-21 22:34:19 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.311185 47.656085),47.656085,-122.311185,George Washington Statue,UW Campus,1909,,Bronze,,Large,http://students.washington.edu/gyubeom/photo(project3)/georgewashington.jpeg
b7f9a82d-1355-499b-b73d-0818e53c2042,W Sculpture,2018-02-21 22:34:10 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.309647 47.661125),47.661125,-122.309647,W Sculpture,UW Campus(45th Memorial Way),,,Metal,,Medium,http://students.washington.edu/gyubeom/photo(project3)/wsculpture.jpeg
5314580c-9693-458b-a9f1-8bcbf2950167,The Fountain,2018-02-21 22:33:40 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.299271 47.663699),47.663699,-122.299271,The Fountain,University Village,,,Concrete,,Large,http://students.washington.edu/gyubeom/photo(project3)/thefountain.jpeg
646280a6-21e5-4ba2-94f0-87a73f5b2c87,Coming Home,2018-02-21 22:33:32 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.298748 47.662323),47.662323,-122.298748,Coming Home,University Village,1995,,Bronze,,Medium,http://students.washington.edu/gyubeom/photo(project3)/cominghome.jpeg
85d8181a-17db-4d1f-94a7-a9c47637aad5,Water Break,2018-02-21 22:33:22 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.299024 47.662315),47.662315,-122.299024,Water Break,University Village,2006,,Others,"Stone, Water",Medium,http://students.washington.edu/gyubeom/photo(project3)/waterbreak.jpeg
bbbf2191-9792-47f3-bbb8-bf9f9cfbec21,Water Frolic,2018-02-21 22:33:15 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.299118 47.662786),47.662786,-122.299118,Water Frolic,University Village,2006,,Others,Stone,Medium,http://students.washington.edu/gyubeom/photo(project3)/waterfrolic.jpeg
a651ece6-ca95-4210-988f-32e36f510480,The Painting By Kyler Martz,2018-02-21 22:33:03 PST,,Gyubeom Kim,Gyubeom Kim,SRID=4326;POINT(-122.29922 47.66272),47.66272,-122.29922,The Painting By Kyler Martz,University Village,2015,Blue,Others,"Paper, Painting",Small,http://students.washington.edu/gyubeom/photo(project3)/paintingbyKM.jpeg
